word1,word2
curliness,straightness
destabilisation,stabilisation
accessibility,inaccessibility
defense,offense
advisability,inadvisability
augmentation,diminution
devolution,evolution
drunkenness,soberness
centralization,decentralization
nominative,oblique
meaningfulness,meaninglessness
clergyman,layman
attraction,repulsion
palatability,unpalatability
intractability,tractability
alignment,nonalignment
heaviness,lightness
sanitariness,unsanitariness
environmentalism,hereditarianism
genuineness,spuriousness
classicist,romanticist
activeness,inactiveness
equivalence,nonequivalence
predictability,unpredictability
aposelene,periselene
distinctness,indistinctness
corruptness,incorruptness
masochist,sadist
dissuasion,persuasion
illness,wellness
nobleman,noblewoman
overstatement,understatement
faithfulness,unfaithfulness
decrease,increase
importance,unimportance
intemperance,temperance
hypervolemia,hypovolemia
constructiveness,destructiveness
benignancy,malignancy
creditor,debtor
finish,start
anabolism,catabolism
sunrise,sunset
exon,intron
preparation,resolution
brightness,dullness
dislike,liking
anteriority,posteriority
effector,receptor
relatedness,unrelatedness
pleasantness,unpleasantness
unwellness,wellness
atonicity,tonicity
insentience,sentience
advance,retreat
negativity,positivity
expedience,inexpedience
respectability,unrespectability
insincerity,sincerity
falsehood,truth
disrespect,respect
imperfectibility,perfectibility
orthodoxy,unorthodoxy
graciousness,ungraciousness
impracticability,practicability
improvidence,providence
anticyclone,cyclone
applicability,inapplicability
impartiality,partiality
comprehension,incomprehension
optimism,pessimism
falsity,truth
expectedness,unexpectedness
sharpness,softness
convenience,inconvenience
rightfulness,wrongfulness
conclusiveness,inconclusiveness
negativeness,positiveness
consideration,inconsideration
desynchronizing,synchronizing
thickness,thinness
distrust,trust
capability,incapability
express,local
disesteem,esteem
nonsmoker,smoker
disreputability,reputability
courtesy,discourtesy
completeness,incompleteness
convergence,divergence
black,white
demotion,promotion
insensitivity,sensitivity
bear,bull
nonresident,resident
comfort,discomfort
foot,head
extraordinariness,ordinariness
deflation,disinflation
demobilization,mobilization
father,mother
imprudence,prudence
scrupulousness,unscrupulousness
disinflation,inflation
foreignness,nativeness
acquittal,conviction
general,particular
appropriateness,inappropriateness
hereness,thereness
income,outgo
sociability,unsociability
commonness,uncommonness
member,nonmember
availability,unavailability
pronation,supination
illegality,legality
host,parasite
misogyny,philogyny
draftee,volunteer
coherence,incoherence
thoughtfulness,thoughtlessness
farness,nearness
attractiveness,unattractiveness
imprecision,precision
conscientiousness,unconscientiousness
insensitiveness,sensitiveness
absence,presence
gain,loss
intolerance,tolerance
fatness,leanness
disequilibrium,equilibrium
adult,juvenile
particular,universal
folly,wisdom
obtrusiveness,unobtrusiveness
largeness,smallness
attention,inattention
fidelity,infidelity
congeniality,uncongeniality
general,specific
maximization,minimization
heedfulness,heedlessness
sleeping,waking
hyperthyroidism,hypothyroidism
immovableness,movableness
inpatient,outpatient
lowercase,uppercase
narrowness,wideness
detribalization,tribalization
immotility,motility
drinker,nondrinker
atomism,holism
benignity,malignity
integration,segregation
affectedness,unaffectedness
decorousness,indecorousness
credibility,incredibility
nonworker,worker
illogicalness,logicalness
nonproliferation,proliferation
boy,girl
fearfulness,fearlessness
cleanliness,uncleanliness
approval,disapproval
seemliness,unseemliness
impracticableness,practicableness
confidence,diffidence
susceptibility,unsusceptibility
usefulness,uselessness
defence,offence
mindfulness,unmindfulness
foe,friend
experience,inexperience
improbability,probability
gratitude,ingratitude
inside,outside
asynchronism,synchronism
bottom,top
guilt,innocence
hairiness,hairlessness
subscript,superscript
nonuniformity,uniformity
demand,supply
bad,good
correctness,incorrectness
selfishness,unselfishness
aphelion,perihelion
aged,young
crookedness,straightness
answer,question
asymmetry,symmetry
deepness,shallowness
acquaintance,stranger
dextrorotation,levorotation
illogicality,logicality
acrocarp,pleurocarp
inopportuneness,opportuneness
capitalism,socialism
bigness,littleness
hyperkalemia,hypokalemia
monosemy,polysemy
immateriality,materiality
tidiness,untidiness
closing,opening
inwardness,outwardness
agreeableness,disagreeableness
hollowness,solidity
explicitness,inexplicitness
initiate,uninitiate
constancy,inconstancy
impreciseness,preciseness
overgarment,undergarment
detribalisation,tribalisation
endogamy,exogamy
nonobservance,observance
cleanness,dirtiness
demonetization,monetization
infield,outfield
illiteracy,literacy
downtime,uptime
becomingness,unbecomingness
separation,union
balance,imbalance
adequacy,inadequacy
steadiness,unsteadiness
conformist,nonconformist
hospitality,inhospitality
decorum,indecorum
digestibility,indigestibility
longness,shortness
overachievement,underachievement
export,import
feasibility,infeasibility
appearance,disappearance
color,colorlessness
disunion,union
disorder,order
dark,light
anamorphism,katamorphism
day,night
conventionality,unconventionality
antinode,node
acceptance,rejection
apolune,perilune
destabilization,stabilization
femininity,masculinity
comedy,tragedy
highland,lowland
immovability,movability
courage,cowardice
approbation,disapprobation
expediency,inexpediency
internationalism,nationalism
communicativeness,uncommunicativeness
activator,inhibitor
hardness,softness
hypertension,hypotension
convergency,divergency
employee,employer
pointedness,unpointedness
appreciation,depreciation
intelligibility,unintelligibility
greenness,ripeness
northernness,southernness
inutility,utility
badness,goodness
tameness,wildness
desynchronization,synchronization
aptitude,inaptitude
roughness,smoothness
exactness,inexactness
impermanence,permanence
satisfactoriness,unsatisfactoriness
amateur,professional
danger,safety
follower,leader
here,there
angularity,roundness
close,open
deodorize,odorize
relax,tense
disqualify,qualify
disentangle,entangle
disorient,orient
demulsify,emulsify
fold,unfold
gladden,sadden
tie,untie
mask,unmask
claim,disclaim
reassure,worry
snarl,unsnarl
destalinize,stalinize
overdress,underdress
criminalise,decriminalise
dedifferentiate,differentiate
stuff,unstuff
boycott,patronise
contraindicate,indicate
legalize,outlaw
belt,unbelt
disobey,obey
continue,discontinue
divide,multiply
agitate,calm
charge,discharge
lie,stand
forget,remember
demote,promote
centralize,decentralize
deglycerolize,glycerolize
have,miss
assimilate,dissimilate
absorb,emit
affirm,negate
blur,focus
maximise,minimise
overexpose,underexpose
find,lose
associate,dissociate
bolt,unbolt
block,unblock
occidentalise,orientalise
enrich,impoverish
idle,work
muzzle,unmuzzle
change,stay
clutter,unclutter
dehumanize,humanize
cry,laugh
move,stay
invalidate,validate
dock,undock
denazify,nazify
attend,miss
discharge,enlist
blacken,whiten
add,subtract
lose,profit
stand,yield
bend,unbend
gather,spread
agree,disagree
freeze,unfreeze
shout,whisper
unveil,veil
criminalize,decriminalize
back,veer
sit,stand
balance,unbalance
free,obstruct
demobilize,mobilize
beautify,uglify
arm,disarm
boycott,patronize
derequisition,requisition
linger,rush
analyze,synthesize
wane,wax
desensitize,sensitize
borrow,lend
deposit,withdraw
contaminate,decontaminate
bless,curse
unwrap,wrap
box,unbox
concentrate,deconcentrate
delay,rush
expatriate,repatriate
overbid,underbid
centralise,decentralize
cool,heat
ascend,descend
criticize,praise
retail,wholesale
overspend,underspend
contract,expand
chain,unchain
bind,unbind
occidentalize,orientalize
dissuade,persuade
harden,soften
overshoot,undershoot
bottlefeed,breastfeed
activate,inactivate
accept,refuse
ignore,notice
begin,end
break,repair
depersonalize,personalize
lie,sit
break,keep
fail,succeed
ride,walk
conform,deviate
maximize,minimize
depersonalise,personalise
screw,unscrew
appreciate,depreciate
converge,diverge
literalize,spiritualize
deodourise,odourise
dull,sharpen
refresh,tire
disenchant,enchant
act,refrain
erase,record
dissatisfy,satisfy
admit,reject
desensitise,sensitise
legalise,outlaw
combinative,noncombinative
ready,unready
ecdemic,endemic
thick,thin
distal,proximal
nosed,noseless
nonradioactive,radioactive
kind,unkind
mindful,unmindful
eventful,uneventful
ascending,descending
centralizing,decentralizing
established,unestablished
posed,unposed
unwomanly,womanly
joyful,sorrowful
