word1,word2,direction
medicine,ophthalmology,hypernym_to_hyponym
garment,undergarment,hypernym_to_hyponym
prediction,fortunetelling,hypernym_to_hyponym
trace,spark,hypernym_to_hyponym
bedroom,dormitory,hypernym_to_hyponym
neurotic,obsessive,hypernym_to_hyponym
bluejacket,submariner,hypernym_to_hyponym
medicine,pharmacy,hypernym_to_hyponym
homopteran,planthopper,hypernym_to_hyponym
garment,burqa,hypernym_to_hyponym
tastelessness,cheapness,hypernym_to_hyponym
gait,lurch,hypernym_to_hyponym
outfit,playsuit,hypernym_to_hyponym
mash,scratch,hypernym_to_hyponym
alcohol,propanol,hypernym_to_hyponym
symptom,wheeziness,hypernym_to_hyponym
theologian,preterist,hypernym_to_hyponym
sirenian,dugong,hypernym_to_hyponym
magnitude,dimension,hypernym_to_hyponym
symptom,spasm,hypernym_to_hyponym
medicine,virology,hypernym_to_hyponym
indicator,pointer,hypernym_to_hyponym
neurotic,sociopath,hypernym_to_hyponym
acting,portrayal,hypernym_to_hyponym
prophet,sibyl,hypernym_to_hyponym
representation,percept,hypernym_to_hyponym
garment,overgarment,hypernym_to_hyponym
gibberish,jabber,hypernym_to_hyponym
packing,bundling,hypernym_to_hyponym
representation,overlap,hypernym_to_hyponym
symptom,ague,hypernym_to_hyponym
opinion,politics,hypernym_to_hyponym
geophysicist,seismologist,hypernym_to_hyponym
businessman,arbitrageur,hypernym_to_hyponym
lecture,sermon,hypernym_to_hyponym
businessman,operator,hypernym_to_hyponym
penicillin,methicillin,hypernym_to_hyponym
band,armlet,hypernym_to_hyponym
teiid,teju,hypernym_to_hyponym
symptom,dyspnea,hypernym_to_hyponym
symptom,uricaciduria,hypernym_to_hyponym
independence,autonomy,hypernym_to_hyponym
mover,lunger,hypernym_to_hyponym
walk,gait,hypernym_to_hyponym
relative,ancestor,hypernym_to_hyponym
wanderer,vagrant,hypernym_to_hyponym
cyprinid,shiner,hypernym_to_hyponym
puncture,pinhole,hypernym_to_hyponym
medicine,pharmacology,hypernym_to_hyponym
garment,skirt,hypernym_to_hyponym
object,commemorative,hypernym_to_hyponym
stanza,sestet,hypernym_to_hyponym
sacrifice,hecatomb,hypernym_to_hyponym
cannon,culverin,hypernym_to_hyponym
opinion,judgment,hypernym_to_hyponym
magnitude,degree,hypernym_to_hyponym
dinosaur,saurischian,hypernym_to_hyponym
gait,strut,hypernym_to_hyponym
craft,spacecraft,hypernym_to_hyponym
symptom,hypoproteinemia,hypernym_to_hyponym
phrase,ligature,hypernym_to_hyponym
eruption,rash,hypernym_to_hyponym
expertness,professionalism,hypernym_to_hyponym
craft,hovercraft,hypernym_to_hyponym
incomprehensibility,illegibility,hypernym_to_hyponym
mover,ascender,hypernym_to_hyponym
address,allocution,hypernym_to_hyponym
address,litany,hypernym_to_hyponym
arrangement,orchestration,hypernym_to_hyponym
chalcedony,sard,hypernym_to_hyponym
garment,sealskin,hypernym_to_hyponym
symptom,inflammation,hypernym_to_hyponym
farmer,forester,hypernym_to_hyponym
indicator,cursor,hypernym_to_hyponym
medicine,nosology,hypernym_to_hyponym
dinosaur,ornithischian,hypernym_to_hyponym
compartment,cubbyhole,hypernym_to_hyponym
alcohol,diol,hypernym_to_hyponym
independence,separateness,hypernym_to_hyponym
symptom,chill,hypernym_to_hyponym
multitude,laity,hypernym_to_hyponym
garment,shirt,hypernym_to_hyponym
walk,prowl,hypernym_to_hyponym
stew,goulash,hypernym_to_hyponym
symptom,meningism,hypernym_to_hyponym
roulette,cycloid,hypernym_to_hyponym
stew,hotpot,hypernym_to_hyponym
cyprinid,dace,hypernym_to_hyponym
rustic,woodsman,hypernym_to_hyponym
symptom,eosinopenia,hypernym_to_hyponym
theologian,presentist,hypernym_to_hyponym
magnitude,proportion,hypernym_to_hyponym
opinion,pole,hypernym_to_hyponym
peafowl,peahen,hypernym_to_hyponym
garment,swimsuit,hypernym_to_hyponym
medicine,immunology,hypernym_to_hyponym
penicillin,benzylpenicillin,hypernym_to_hyponym
hypertrophy,adenomegaly,hypernym_to_hyponym
pull,draw,hypernym_to_hyponym
representation,interpretation,hypernym_to_hyponym
dinosaur,diplodocus,hypernym_to_hyponym
aspect,inchoative,hypernym_to_hyponym
mover,descender,hypernym_to_hyponym
annihilation,atomization,hypernym_to_hyponym
gait,roll,hypernym_to_hyponym
object,wall,hypernym_to_hyponym
chalcedony,carnelian,hypernym_to_hyponym
elasmobranch,ray,hypernym_to_hyponym
ade,lemonade,hypernym_to_hyponym
band,strap,hypernym_to_hyponym
cyprinid,gudgeon,hypernym_to_hyponym
representation,concretism,hypernym_to_hyponym
antipsychotic,thiothixene,hypernym_to_hyponym
hypertrophy,dactylomegaly,hypernym_to_hyponym
symptom,hydrophobia,hypernym_to_hyponym
magnitude,intensity,hypernym_to_hyponym
jack,amberjack,hypernym_to_hyponym
symptom,anemia,hypernym_to_hyponym
occurrence,sympatry,hypernym_to_hyponym
faculty,volition,hypernym_to_hyponym
representation,psychosexuality,hypernym_to_hyponym
address,sermon,hypernym_to_hyponym
object,ribbon,hypernym_to_hyponym
band,hoop,hypernym_to_hyponym
garment,gown,hypernym_to_hyponym
overgarment,coat,hypernym_to_hyponym
drop,maildrop,hypernym_to_hyponym
symptom,fever,hypernym_to_hyponym
businessman,syndicator,hypernym_to_hyponym
limb,forelimb,hypernym_to_hyponym
order,closure,hypernym_to_hyponym
representation,memory,hypernym_to_hyponym
band,weed,hypernym_to_hyponym
absorbent,absorber,hypernym_to_hyponym
sweetness,sugariness,hypernym_to_hyponym
relative,cognate,hypernym_to_hyponym
symptom,ketonuria,hypernym_to_hyponym
rotation,roll,hypernym_to_hyponym
bullying,terrorization,hypernym_to_hyponym
contact,snick,hypernym_to_hyponym
pollutant,dichlorodiphenyltrichloroethane,hypernym_to_hyponym
chalcedony,bloodstone,hypernym_to_hyponym
chalcedony,agate,hypernym_to_hyponym
faculty,attention,hypernym_to_hyponym
calf,maverick,hypernym_to_hyponym
transition,flashback,hypernym_to_hyponym
cyprinid,goldfish,hypernym_to_hyponym
symptom,pyuria,hypernym_to_hyponym
death,extinction,hypernym_to_hyponym
enclosure,encasement,hypernym_to_hyponym
stew,slumgullion,hypernym_to_hyponym
symptom,hiccup,hypernym_to_hyponym
stanza,antistrophe,hypernym_to_hyponym
garment,kanzu,hypernym_to_hyponym
garment,laundry,hypernym_to_hyponym
rustic,countryman,hypernym_to_hyponym
symptom,atrophy,hypernym_to_hyponym
businessman,amalgamator,hypernym_to_hyponym
businessman,baron,hypernym_to_hyponym
garment,motley,hypernym_to_hyponym
broadcast,rebroadcast,hypernym_to_hyponym
jack,leatherjacket,hypernym_to_hyponym
formation,raster,hypernym_to_hyponym
puncture,pinprick,hypernym_to_hyponym
antipsychotic,thioridazine,hypernym_to_hyponym
relative,cousin,hypernym_to_hyponym
representation,image,hypernym_to_hyponym
repayment,redemption,hypernym_to_hyponym
antipsychotic,fluphenazine,hypernym_to_hyponym
prophet,prophetess,hypernym_to_hyponym
penicillin,griseofulvin,hypernym_to_hyponym
stanza,octave,hypernym_to_hyponym
search,foraging,hypernym_to_hyponym
swindle,bunco,hypernym_to_hyponym
rustic,coon,hypernym_to_hyponym
penicillin,ampicillin,hypernym_to_hyponym
mover,hitter,hypernym_to_hyponym
garment,trouser,hypernym_to_hyponym
faculty,sense,hypernym_to_hyponym
incomprehensibility,unintelligibility,hypernym_to_hyponym
band,garter,hypernym_to_hyponym
relative,offspring,hypernym_to_hyponym
medicine,gynecology,hypernym_to_hyponym
side,bedside,hypernym_to_hyponym
semantics,semasiology,hypernym_to_hyponym
swindle,scam,hypernym_to_hyponym
garment,legging,hypernym_to_hyponym
gait,waddle,hypernym_to_hyponym
spittlebug,froghopper,hypernym_to_hyponym
object,remains,hypernym_to_hyponym
medicine,otology,hypernym_to_hyponym
pine,pinon,hypernym_to_hyponym
garment,robe,hypernym_to_hyponym
contact,rub,hypernym_to_hyponym
tidiness,neatness,hypernym_to_hyponym
symptom,congestion,hypernym_to_hyponym
farmer,beekeeper,hypernym_to_hyponym
thinness,wateriness,hypernym_to_hyponym
symptom,syndrome,hypernym_to_hyponym
lumpfish,lumpsucker,hypernym_to_hyponym
coldness,cool,hypernym_to_hyponym
booth,tollbooth,hypernym_to_hyponym
medicine,pediatrics,hypernym_to_hyponym
jumper,parachutist,hypernym_to_hyponym
businessman,oilman,hypernym_to_hyponym
businessman,transactor,hypernym_to_hyponym
garment,stomacher,hypernym_to_hyponym
symptom,ketonemia,hypernym_to_hyponym
symptom,hypoglycemia,hypernym_to_hyponym
expanse,stretch,hypernym_to_hyponym
symptom,aura,hypernym_to_hyponym
garment,sweatsuit,hypernym_to_hyponym
symptom,hypocalcemia,hypernym_to_hyponym
narrator,fabulist,hypernym_to_hyponym
leech,horseleech,hypernym_to_hyponym
garment,vest,hypernym_to_hyponym
loop,lobe,hypernym_to_hyponym
medicine,podiatry,hypernym_to_hyponym
vicinity,proximity,hypernym_to_hyponym
sanitariness,asepsis,hypernym_to_hyponym
retort,alembic,hypernym_to_hyponym
symptom,ammoniuria,hypernym_to_hyponym
rotation,levorotation,hypernym_to_hyponym
gratification,satiation,hypernym_to_hyponym
loop,band,hypernym_to_hyponym
antipsychotic,chlorpromazine,hypernym_to_hyponym
object,makeweight,hypernym_to_hyponym
garment,straitjacket,hypernym_to_hyponym
address,colloquium,hypernym_to_hyponym
object,part,hypernym_to_hyponym
louse,cootie,hypernym_to_hyponym
observation,monitoring,hypernym_to_hyponym
medicine,proctology,hypernym_to_hyponym
coercion,terror,hypernym_to_hyponym
alcohol,butanol,hypernym_to_hyponym
symptom,hypernatremia,hypernym_to_hyponym
gumption,logic,hypernym_to_hyponym
symptom,hypercalcemia,hypernym_to_hyponym
spirit,courage,hypernym_to_hyponym
broadcast,telecast,hypernym_to_hyponym
pollutant,halon,hypernym_to_hyponym
acting,roleplaying,hypernym_to_hyponym
agreement,consensus,hypernym_to_hyponym
impatience,intolerance,hypernym_to_hyponym
rustic,yokel,hypernym_to_hyponym
tennis,singles,hypernym_to_hyponym
independence,autarky,hypernym_to_hyponym
magnitude,multiplicity,hypernym_to_hyponym
farmer,stockman,hypernym_to_hyponym
relative,kin,hypernym_to_hyponym
magnitude,muchness,hypernym_to_hyponym
