word1,word2,relation,direction,pos
gauze,net,hypernymy,hyponym_to_hypernym,n
boomerang,projectile,hypernymy,hyponym_to_hypernym,n
saturation,filling,hypernymy,hyponym_to_hypernym,n
tusk,tooth,hypernymy,hyponym_to_hypernym,n
roundhead,person,hypernymy,hyponym_to_hypernym,n
flannelbush,shrub,hypernymy,hyponym_to_hypernym,n
right,justice,hypernymy,hyponym_to_hypernym,n
peduncle,tract,hypernymy,hyponym_to_hypernym,n
atrium,court,hypernymy,hyponym_to_hypernym,n
miscarriage,abortion,hypernymy,hyponym_to_hypernym,n
bombshell,surprise,hypernymy,hyponym_to_hypernym,n
matrix,mold,hypernymy,hyponym_to_hypernym,n
feudalism,structure,hypernymy,hyponym_to_hypernym,n
gusher,oiler,hypernymy,hyponym_to_hypernym,n
correction,drop,hypernymy,hyponym_to_hypernym,n
derringer,pistol,hypernymy,hyponym_to_hypernym,n
drudge,laborer,hypernymy,hyponym_to_hypernym,n
hardtack,mahogany,hypernymy,hyponym_to_hypernym,n
kvetch,complaint,hypernymy,hyponym_to_hypernym,n
comeback,reappearance,hypernymy,hyponym_to_hypernym,n
superannuation,pension,hypernymy,hyponym_to_hypernym,n
weakening,decrease,hypernymy,hyponym_to_hypernym,n
stirrup,support,hypernymy,hyponym_to_hypernym,n
sight,compass,hypernymy,hyponym_to_hypernym,n
orach,herb,hypernymy,hyponym_to_hypernym,n
needlepoint,lace,hypernymy,hyponym_to_hypernym,n
inflation,explosion,hypernymy,hyponym_to_hypernym,n
shock,earthquake,hypernymy,hyponym_to_hypernym,n
fowler,hunter,hypernymy,hyponym_to_hypernym,n
weekend,period,hypernymy,hyponym_to_hypernym,n
affray,quarrel,hypernymy,hyponym_to_hypernym,n
trample,sound,hypernymy,hyponym_to_hypernym,n
pivot,marcher,hypernymy,hyponym_to_hypernym,n
instrument,assistant,hypernymy,hyponym_to_hypernym,n
stockpot,pot,hypernymy,hyponym_to_hypernym,n
galactocele,cyst,hypernymy,hyponym_to_hypernym,n
alcohol,liquid,hypernymy,hyponym_to_hypernym,n
accumulation,increase,hypernymy,hyponym_to_hypernym,n
appeal,proceeding,hypernymy,hyponym_to_hypernym,n
solenogaster,gastropod,hypernymy,hyponym_to_hypernym,n
glory,beauty,hypernymy,hyponym_to_hypernym,n
spaghetti,pasta,hypernymy,hyponym_to_hypernym,n
foot,walk,hypernymy,hyponym_to_hypernym,n
forbearance,delay,hypernymy,hyponym_to_hypernym,n
lubricant,substance,hypernymy,hyponym_to_hypernym,n
spondee,foot,hypernymy,hyponym_to_hypernym,n
best,person,hypernymy,hyponym_to_hypernym,n
face,status,hypernymy,hyponym_to_hypernym,n
bust,sculpture,hypernymy,hyponym_to_hypernym,n
gooseberry,shrub,hypernymy,hyponym_to_hypernym,n
homeotherm,animal,hypernymy,hyponym_to_hypernym,n
ichthyosaur,archosaur,hypernymy,hyponym_to_hypernym,n
militarism,hawkishness,hypernymy,hyponym_to_hypernym,n
chowchow,relish,hypernymy,hyponym_to_hypernym,n
perfectibility,capability,hypernymy,hyponym_to_hypernym,n
lull,calmness,hypernymy,hyponym_to_hypernym,n
part,concept,hypernymy,hyponym_to_hypernym,n
plastic,solid,hypernymy,hyponym_to_hypernym,n
budgerigar,parakeet,hypernymy,hyponym_to_hypernym,n
production,act,hypernymy,hyponym_to_hypernym,n
sinker,weight,hypernymy,hyponym_to_hypernym,n
isogone,line,hypernymy,hyponym_to_hypernym,n
somniloquy,process,hypernymy,hyponym_to_hypernym,n
coffeepot,pot,hypernymy,hyponym_to_hypernym,n
defect,imperfection,hypernymy,hyponym_to_hypernym,n
aggro,aggravation,hypernymy,hyponym_to_hypernym,n
